0 3 6
1 4 6
2 2 4
3 0 4
4 1 5
5 4 5
6 3 4
7 1 4
8 1 2
9 0 2
10 1 2
11 0 2
12 3 6
13 1 6
14 11 13
15 7 13
16 2 10
17 0 10
18 2 5
19 2 5
20 6 9
21 4 9
22 7 9
23 5 9
24 7 7
25 1 7
26 5 6
27 0 6
28 2 2
29 1 2
30 1 2
31 0 2
32 1 6
33 0 6
34 0 4
35 0 4
36 0 2
37 0 2
38 0 1
39 0 1
40 0 2
41 0 2
42 2 4
43 1 4
44 1 1
45 1 1
46 1 4
47 0 4
48 3 4
49 1 4
50 2 3
51 1 3
52 0 2
53 1 2
54 0 3
55 1 3
56 0 2
57 0 2
58 6 10
59 0 10
60 0 6
61 0 6
62 0 4
63 0 4
64 0 2
65 0 2
66 0 2
67 0 2
68 0 4
69 0 4
70 0 2
71 0 2
72 0 2
73 0 2
74 8 8
75 8 8
76 8 10
77 7 10
78 5 6
79 0 6
80 0 3
81 2 3
82 1 1
83 1 1
84 3 6
85 3 6
86 10 16
87 4 16
88 0 3
89 0 3
90 4 14
91 6 14
92 7 11
93 0 11
94 0 14
95 0 14
96 2 3
97 1 3
98 8 10
99 6 10
100 0 3
101 1 3
102 2 4
103 1 4
104 1 2
105 0 2
106 0 2
107 1 2
108 2 2
109 1 2
110 2 5
111 4 5
112 0 1
113 1 1
114 0 1
115 0 1
116 1 4
117 2 4
118 1 3
119 1 3
120 0 3
121 0 3
122 1 3
123 0 3
124 0 1
125 0 1
126 1 3
127 1 3
128 0 2
129 0 2
130 1 2
131 0 2
132 0 2
133 0 2
134 1 2
135 0 2
136 1 3
137 1 3
138 0 1
139 0 1
140 1 10
141 4 10
142 2 2
143 0 2
144 1 4
145 0 4
146 2 10
147 0 10
148 1 3
149 0 3
150 0 3
151 0 3
152 2 4
153 0 4
154 0 1
155 0 1
156 0 1
157 0 1
158 0 1
159 0 1
160 1 3
161 0 3
162 0 1
163 0 1
164 0 2
165 0 2
166 0 2
167 0 2
168 2 6
169 0 6
